Time [min],Intensity [counts]
Chromatogram,
2.98,6443
2.98,5732
2.99,6318
3.00,5736
3.00,5877
3.01,5376
3.01,5913
3.02,7282
3.03,8599
3.03,8453
3.04,8591
3.04,8578
3.05,8205
3.06,7071
3.06,6648
3.07,6542
3.07,5937
3.08,5604
3.09,6132
3.09,5619
3.10,5124
3.10,5309
3.11,5373
3.12,4842
3.12,5377
3.13,5902
3.14,5315
3.14,6133
3.15,5004
3.15,5583
3.16,5661
3.17,10166
3.17,25531
3.18,32995
3.18,31523
3.19,23275
3.20,15164
3.20,10362
3.21,7469
3.21,6408
3.22,6831
3.23,6893
3.23,6759
3.24,7192
3.24,7368
3.25,6251
3.26,6492
3.26,5155
3.27,5757
3.27,5523
3.28,5225
3.29,4855
3.29,4293
3.30,4823
3.30,5213
3.31,5205
3.32,4716
3.32,4978
3.33,5364
3.33,4477
3.34,5473
3.35,10602
3.35,15907
3.36,19739
3.36,19799
3.37,17636
3.38,12654
3.38,9502
3.39,7579
3.39,6571
3.40,7078
3.41,6646
3.41,7274
3.42,7219
3.43,6883
3.43,5931
3.44,6135
3.44,6324
3.45,5260
3.46,5033
3.46,5000
3.47,4624
3.47,5039
3.48,4429
3.49,15848
3.49,17036
3.50,16129
3.50,14184
3.51,12366
3.52,11977
3.52,10063
3.53,9677
3.53,8390
3.54,7800
3.55,7535
3.55,6762
3.56,6042
3.56,5514
3.57,6278
3.58,5236
3.58,6678
3.59,4794
3.59,5586
3.60,6841
3.61,6579
3.61,7560
3.62,8763
3.62,8077
3.63,8530
3.64,7528
3.64,7489
3.65,6073
3.65,5522
3.66,4508
3.67,4661
3.67,4437
3.68,4180
3.68,4076
3.69,4036
3.70,3957
3.70,3969
3.71,4007
3.72,4119
3.72,4537
3.73,4227
3.73,6047
3.74,7614
3.75,9370
3.75,12761
3.76,13553
3.76,13505
3.77,13437
3.78,12206
3.78,11058
3.79,11024
3.79,9919
3.80,8600
3.81,7721
3.81,6673
3.82,5061
3.82,5072
3.83,4561
3.84,4627
3.84,4080
3.85,3602
3.85,3669
3.86,4867
3.87,5920
3.87,7577
3.88,10177
3.88,13459
3.89,13758
3.90,14908
3.90,13922
3.91,13116
3.91,12985
3.92,11846
3.93,12689
3.93,11702
3.94,9725
3.94,7515
3.95,6415
3.96,22147
3.96,60441
3.97,78908
3.97,73340
3.98,58488
3.99,42908
3.99,31064
4.00,24124
4.01,17690
4.01,13210
4.02,10350
4.02,8943
4.03,7313
4.04,7613
4.04,6978
4.05,6322
4.05,6420
4.06,6505
4.07,6299
4.07,5116
4.08,4621
4.08,4654
4.09,6538
4.10,8245
4.10,9756
4.11,10326
4.11,9435
4.12,9766
4.13,9145
4.13,8467
4.14,7791
4.14,7941
4.15,7850
4.16,8229
4.16,7239
4.17,8387
4.17,7365
4.18,8891
4.19,8350
4.19,8821
4.20,7531
4.20,8299
4.21,8387
4.22,8925
4.22,7760
4.23,8386
4.23,8615
4.24,7621
4.25,7726
4.25,7654
4.26,6721
4.26,7355
4.27,6504
4.28,6610
4.28,6120
4.29,5961
4.30,5663
4.30,5390
4.31,5028
4.31,4462
4.32,4588
4.33,4576
4.33,4246
4.34,4506
4.34,4297
4.35,4905
4.36,4440
4.36,4564
4.37,3771
4.37,5450
4.38,5381
4.39,5156
4.39,5200
4.40,5165
4.40,5615
4.41,5295
4.42,5641
4.42,5653
4.43,4877
4.43,6115
4.44,6178
4.45,6905
4.45,7847
4.46,8070
4.46,8948
4.47,9048
4.48,7846
4.48,7546
4.49,6496
4.49,5611
4.50,5109
4.51,5144
4.51,4725
4.52,5260
4.52,5178
4.53,4391
4.54,4380
4.54,5483
4.55,6220
4.55,6981
4.56,6824
4.57,8279
4.57,10931
4.58,13338
4.59,17051
4.59,16546
4.60,15409
4.60,14180
4.61,13107
4.62,11555
4.62,10961
4.63,10818
4.63,11730
4.64,11812
4.65,12370
4.65,12958
4.66,13260
4.66,8953
4.67,6863
4.68,7720
4.68,8381
4.69,7069
4.69,7121
4.70,6940
4.71,6118
4.71,5806
4.72,5893
4.72,4412
4.73,5129
4.74,4627
4.74,4407
4.75,4193
4.75,4258
4.76,5519
4.77,4883
4.77,5836
4.78,7403
4.78,8015
4.79,9000
4.80,9454
4.80,9388
4.81,10091
4.81,8347
4.82,6746
4.83,5750
4.83,4764
4.84,4148
4.84,3645
4.85,3543
4.86,3500
4.86,3570
4.87,3612
4.88,3130
4.88,3713
4.89,3915
4.89,3837
4.90,3937
4.91,4841
4.91,4276
4.92,4374
4.92,4325
4.93,4500
4.94,4385
4.94,4420
4.95,4112
4.95,5558
4.96,5707
4.97,6764
4.97,6181
4.98,5806
4.98,4892
4.99,4436
5.00,4468
5.00,4160
5.01,3806
5.01,3374
5.02,3729
5.03,4116
5.03,3239
5.04,3013
5.04,3227
5.05,3424
5.06,3404
5.06,3866
5.07,4040
5.07,3275
5.08,4072
5.09,3454
5.09,3333
5.10,3737
5.10,3133
5.11,2985
5.12,3252
5.12,3227
5.13,2604
5.13,2976
5.14,3030
5.15,3272
5.15,3458
5.16,3736
5.17,3041
5.17,3880
5.18,4336
5.18,4432
5.19,4929
5.20,3957
5.20,4124
5.21,4030
5.21,3723
5.22,3328
5.23,3840
5.23,4361
5.24,4480
5.24,4881
5.25,4376
5.26,4480
5.26,4922
5.27,4052
5.27,3530
5.28,3200
5.29,3327
5.29,3041
5.30,2858
5.30,3487
5.31,3026
5.32,2945
5.32,2776
5.33,2508
5.33,2749
5.34,3094
5.35,3163
5.35,2731
5.36,2831
5.36,3220
5.37,3212
5.38,3399
5.38,3987
5.39,3796
5.39,5274
5.40,5644
5.41,6299
5.41,5599
5.42,5833
5.43,4670
5.43,4059
5.44,3853
5.44,3162
5.45,3408
5.46,3263
5.46,3034
5.47,3954
5.47,3104
5.48,3081
5.49,3328
5.49,3414
5.50,3326
5.50,3292
5.51,3628
5.52,3577
5.52,3726
5.53,3118
5.53,3115
5.54,3217
5.55,2948
5.55,3371
5.56,2885
5.56,3083
5.57,2806
5.58,2606
5.58,3136
5.59,2847
5.59,2476
5.60,3031
5.61,2831
5.61,2383
5.62,3502
5.62,3730
5.63,4136
