Time [min],Intensity [counts]
Chromatogram,
2.98,3708
2.98,5276
2.99,3829
3.00,4242.928711
3.00,4556.142578
3.01,4739.571777
3.01,4770.523926
3.02,4628.666504
3.03,4558.190918
3.03,4620.095703
3.04,4775.476074
3.04,5398.189941
3.05,5853.333984
3.06,5994.190918
3.06,6052.857422
3.07,5891.523926
3.07,5526.19043
3.08,4989.571777
3.09,4340.856934
3.09,4162.523926
3.10,4141.80957
3.10,4307.094727
3.11,4495.762207
3.12,4323.095215
3.12,4031.285889
3.13,4026.904785
3.14,3861.285645
3.14,3920.618896
3.15,4081.333496
3.15,4094.80957
3.16,4201.952637
3.17,4147.380859
3.17,4235.523926
3.18,4173.571289
3.18,3955.523926
3.19,4034.095703
3.20,4080.904785
3.20,4312.857422
3.21,4841.380859
3.21,5000.619141
3.22,4786.761719
3.23,4602.047363
3.23,4121.428223
3.24,3789.666992
3.24,3497.952393
3.25,3495.571533
3.26,3457.761963
3.26,3522.761719
3.27,3623.142822
3.27,3536.666992
3.28,3460.619141
3.29,3625.333252
3.29,3732.80957
3.30,3801.143066
3.30,3795.476074
3.31,3762.190674
3.32,3766.381104
3.32,3711.285645
3.33,3713.476074
3.33,3713.904785
3.34,3762.618652
3.35,3646.904541
3.35,3674.714111
3.36,3719.952637
3.36,3862.142578
3.37,4072.809082
3.38,4240.904785
3.38,4377.904785
3.39,4620.380859
3.39,5136
3.40,5310.619141
3.41,5262.381348
3.41,5082.571289
3.42,4859.238281
3.43,4435.856934
3.43,4164.476563
3.44,3779.095215
3.44,3690.095215
3.45,3725.762207
3.46,3806.476318
3.46,3610.238281
3.47,3401.523682
3.47,3231.237793
3.48,3192.80957
3.49,3172.80957
3.49,3425.80957
3.50,3584.761719
3.50,3765.333496
3.51,3741.380615
3.52,3728.761963
3.52,3589.523926
3.53,3401.714111
3.53,3410.856934
3.54,3463.476563
3.55,3419.714111
3.55,3488.999756
3.56,3478.095215
3.56,3322.047607
3.57,3449
3.58,3356.761963
3.58,3234.238037
3.59,3264.618896
3.59,3556.285645
3.60,3754.428955
3.61,4201.523926
3.61,4278.999512
3.62,4305.238281
3.62,4190.380859
3.63,4135.475586
3.64,4135.047852
3.64,4161.714355
3.65,4087.047607
3.65,3962.19043
3.66,3819.857178
3.67,3786.047363
3.67,3636.618896
3.68,3426.619141
3.68,3426.761963
3.69,3376.904785
3.70,3493.047363
3.70,3504.333252
3.71,3363.952637
3.72,3684.904785
3.72,4527.761719
3.73,6148.143066
3.73,7947.761719
3.74,9023.046875
3.75,8779.761719
3.75,7733.666504
3.76,6238.856934
3.76,5654.286133
3.77,6150.76123
3.78,7122
3.78,8023.999512
3.79,8349.523438
3.79,8120.714355
3.80,7348.381348
3.81,6452.714355
3.81,5510.571777
3.82,4865.619141
3.82,4086.333252
3.83,3820.619141
3.84,3654.666992
3.84,3664.238037
3.85,3718.333008
3.85,3838.809814
3.86,3690.571533
3.87,3524.047607
3.87,3347.666748
3.88,3314.904785
3.88,3799.571289
3.89,5009.952637
3.90,7651.333496
3.90,11355.85742
3.91,14984.90332
3.91,17389.95313
3.92,17885.80859
3.93,16268.19141
3.93,13840.95117
3.94,10764.33398
3.94,7730.856445
3.95,5494.047852
3.96,4018.333252
